row_id,title,unit_before,unit_after,basis,amount_type,matched,evidence_window
PBLN_000000000124869,[전남광주] 2026년 지역특화형 스마트공장(식품ㆍ바이오) 구축지원사업(기초) 공고,(결측),company,scope_section,unknown,개사,지원규모] 20개사     [지원대상] 전남 소재 중소·중견기업 중 스마
PBLN_000000000124726,[충북] 2026년 특화콘텐츠 마케팅 지원사업(팝업운영) 모집 수정 공고,(결측),company,amount_context,total_budget,개사,"17시까지  ❍ (지원규모) 총 4개사 내외(과제별 8,000천원 내외)  ❍ (지"
PBLN_000000000124706,[전남광주] 2026년 청년 희망 일자리 지원사업 참여기업 모집 재공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000123795,2026년 찾아가는 1:1 교육사업 시행 공고,person,project,scope_section,periodic,0건,"지원규모 : 1,100건 내외     * 예산 한도 내 선착순 지원(권역별 쿼"
PBLN_000000000122103,2026년 기술임치기업 보증용 기술가치평가 지원사업 참여기업 모집 공고,company,project,amount_context,per_project,건당,한 국내 유망 중소기업  ☞ 기술가치평가 비용 1건당 1백만원(50%) 지원
PBLN_000000000121976,[경기] 포천시 2026년 지역소공인육성사업 소공인특화지원센터 지원사업 공고,(결측),company,amount_context,total_budget,개사,맞춤형컨설팅지원 □ (지원규모) 376백만원 (50개사 내외)
PBLN_000000000121819,[울산] 2026년 울산자유무역지역 역량강화 기업지원사업 참여기업 모집 공고,(결측),company,scope_section,total_budget,개사,규모) 총 약 1.8억원(국비 1.8억원)   - 지원개사 : 8개사 내외   - 지원금 : 프로그램별 상이(기
PBLN_000000000121681,[광주] 2026년 첫걸음입점 광주소상공인 지원사업 참여 소상공인 모집 공고,(결측),company,scope_section,unknown,개사,용 상품을 보유한 광주    광역시 소재 소상공인 20개사 내외   - 중소기업확인서 제출로 소상공인임을 증빙한
PBLN_000000000120944,[광주] 2026년 소상공인 신규채용 인건비 지원사업 모집 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000120385,[울산] 2026년 자동차 부품업종 근로자 지역정착 지원사업 참여기업 모집 공고(지역ㆍ산업맞춤형 일자리지원 사업(자율계정)),company,person,amount_context,periodic,1인당,품 업종 기업  ☞ 4대보험료 지원 : 근로자 1인당 105만원(35만원×3개월)
PBLN_000000000119571,2026년 미래내일 일경험 지원사업(인턴형) 참여기업 모집 공고,company,person,amount_context,periodic,1인당,) - 참여기업 지원금 지원 : 참여청년 1인당 최대 50만원 (주당 5만원)
PBLN_000000000119047,[충북] 2026년 충청북도기업애로지원센터 기업애로 SOS자문단 참여기업 모집 공고,(결측),company,scope_section,unknown,참여기업,승인결과 통보   ❍ 상담승인 내용 및 수당기준 등을 참여기업과 자문위원에게 공문으로 통보  ⓺ 자문수행 및 만족도
PBLN_000000000117561,[경남] 진주시 2026년 수출물류비 지원사업 참여업체 모집 공고,(결측),company,amount_context,total_budget,개사,항목   ❍ 지원규모 : 20개사 내외 (업체별 최대 200만원 이내)    ❍
PBLN_000000000106449,[인천] 2025년 상생 일자리채움 취업지원금 참여자 모집 공고(인천 상생 패키지 지원 프로젝트),(결측),person,scope_section,unknown,5명,"지원규모 : 95명 □ 지원기간 : 6개월(근속기간 3/6개월 충족 시,"
PBLN_000000000106307,[인천] 부평구 2025년 중소기업 수출물류비 지원사업 추가 공고,(결측),company,amount_context,total_budget,개사,0억 미만 중소기업   ❍ 지원규모 : 6개사(업체별 50만원 이내)   ❍ 지
PBLN_000000000104333,[경남] 진주시 2025년 중소기업네트워크형콜라보 기업지원사업 시행계획 공고,project,team,amount_context,per_project,팀당,"주바이오산업진흥원 ❑ 지원규모 : 2개팀, 팀당 최대 60,000천원 이내(선정평가에"
PBLN_000000000104000,[제주] 2025년 국내전시회 참가 및 바이어 초청 통합지원(부산) 모집 공고(해양수산 창업투자 지원센터사업),(결측),company,scope_section,total_budget,기업당,"❍ 물품임대비: 전시대, 상담테이블, 냉동/냉장 평대(기업당 물품별 1개)   ❍ 기타: 부스운영에 필요한 최소 "
PBLN_000000000103973,[제주] 2025년 성장기업 육성 지원 모집 공고(해양수산 창업투자 지원센터사업),(결측),company,amount_context,total_budget,개사,성장 산업으로 육성 □ (지원규모) 총 120백만원/6개사 내외
PBLN_000000000101954,[전남] 2024년 청년 희망 일자리 지원사업 참여기업 모집 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000098883,2024년 4차 바이오분야 연구개발사업 신규지원 대상과제 통합 공고(바이오산업기술개발사업),(결측),company,amount_context,unknown,참여기업,"누어 받는 총 정부지원연구개발비 13.8억원인 경우, 참여기업"
PBLN_000000000093883,[전남] 무안군 2024년 전남형 신중년 희망 일자리장려금 지원사업 참여기업 모집 공고,company,person,amount_context,unknown,명 당,명     지원내용 : 1명 당 10개월 이내 최대 800만원(기업 500 중장
PBLN_000000000091161,[광주] 하남산업단지 중소기업 보증료 지원사업 재공고,(결측),company,scope_section,unknown,개사,지원규모 : 30개사 내외  ❍ 지원기간 : 공고일 ~ 예산(지원금) 소진
PBLN_000000000088291,2023년 스마트 안전장비 지원 사업 공고(2차),(결측),person,scope_section,total_budget,0명,"음 어느 하나에 해당하는 자    - 상시근로자수가 50명 미만인 사업장의 사업주(건설업 중 건설현장 제외, 건"
PBLN_000000000086046,[강원] 2023년 청년창업자금 무이자 대출지원 사업시행 공고,(결측),company,scope_section,total_budget,업체당,"00억 원   다. 지원내용      - 대출한도 : 업체당 최대 5,000만 원이내     - 대출기간 : 최대"
PBLN_000000000084974,2023년 로봇문화 확산을 위한 체험 콘텐츠개발 과제 공고,(결측),project,amount_context,total_budget,개 과제,마파크 내 설치   □ (지원 규모) 20억원 이내(4개 과제)
PBLN_000000000084876,[경북] 안동시 2023년 중소기업 근로자 기숙사 임차비 지원 사업 참여기업 모집 공고,company,person,amount_context,periodic,1인당,기숙사 월 임차료(월세)의 80%이내 지원(1인당 월 30만원 한도)     ※
PBLN_000000000083396,[충남] 2023년 1차 (예비)사회적기업 일자리창출(신규ㆍ재심사ㆍ재참여) 지원사업 공고,(결측),company,scope_section,unknown,기업당,"일 8시간, 월 209시간 기준)  라. 지원인원 : 기업당 1인 이상 50인 이하     ※ 공고일 이후 신규 "
PBLN_000000000082500,[경남] 거창군 2023년 디지털 청년일자리 사업 참여기업 모집 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000078353,[강원] 2022년 ICT이노베이션스퀘어 확산 사업 청년 창업 지원사업(예비ㆍ초기) 참여기업 통합 공고,company,project,amount_context,per_project,과제당,"자금   다. 지원규모 : 4개 과제, 과제당 최대 25백만원 지원   라. 지"
PBLN_000000000077656,2022년 2차 사내벤처 육성 프로그램 운영기업 모집 공고,(결측),company,scope_section,unknown,개사,모집규모) 대․중견․중소․공기업 10개사 내외 □ (운영기간) 2년 (’22. 7월 ~ ’24
PBLN_000000000073328,2022년 기술사관 육성사업 신규사업단 모집 연장 공고,(결측),person,scope_section,unknown,0명,"기업 20개 이상으로 구성  ◦ (학생정원) 전문대 30명 이내 (단, 직업계 지원내용) 직업계고-전문대 연계 "
PBLN_000000000073065,2022년 감염병 차세대 백신 기초원천 핵심기술개발사업 신규과제 3차 공모 공고,(결측),project,scope_section,total_budget,개 과제,지원내용  □ 선정 규모 : 2개 연구주제 / 5개 과제 내외 / 14억 원 내외  □ [표1] 지원분야 : 
PBLN_000000000072837,[울산] 2022년 지역기업 비대면 판로지원사업 모집공고(코로나19),(결측),company,scope_section,unknown,기업당,지원내용 ※ 기업당 3개 분야 내 최대 10백 만원까지 선택 가능 □ 추
PBLN_000000000072474,2022년 스타트업 AI기술인력 양성(이어드림 스쿨) 교육운영사 모집 공고,(결측),person,amount_context,unknown,인당,* 사업비 규모 : 교육생(200명) 인당 × 8백만원 내외 □ (위탁기
PBLN_000000000072197,[제주] 2022년 (예비)사회적기업 전문인력 지원사업 공고,person,company,amount_context,periodic,참여기업,및 사업참여기업 자부담    ‑ 월 200만원(또는 250만원)을 한
PBLN_000000000071506,전략형(대스타)(2022년 1차(상반기) 창업성장기술개발사업 시행계획 공고),person,project,scope_section,periodic,개 과제,"지원규모(1차) : 16억원, 15개 과제 내외  □ 지원유형 : 품목 내 자유공모 □ 지원분야"
PBLN_000000000071158,[울산] 울주군 2022년 귀어 창업 및 주택구입 지원사업 신청 공고,(결측),person,scope_section,unknown,2명,"세대 당 75백만원 이내       * 동일 세대에서 2명 이상이 사업대상자로 선정된 경우, 주택구입 지원은 1"
PBLN_000000000069928,[경북] 경주시 2021년 언택트분야 창업벤처기업 청년일자리 지원사업 참여기업 모집 재공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000067041,[강원] 2021년 콘텐츠코리아랩 시제품 제작 지원사업 모집 공고,(결측),team,amount_context,unknown,개팀,"창작자 및 창업기업 20개팀 내외 라. 사 업 비 : 100,000천원 / 20개"
PBLN_000000000066307,[전남] 2021년 2차 중소기업 R&D기획역량강화 지원사업 모집 공고,(결측),project,scope_section,total_budget,8건,"지원규모 : 총 69백만원(단독기획형 24백만원/8건, 협력기획형 45백만원/6건)  ㅇ 지원대상 : 「중"
PBLN_000000000065211,[부산] 빅데이터ㆍAI 기반 산업 혁신인재 양성 및 고용사업 참여기업 추가 모집 공고(2021년 지역주도형 청년일자리사업-4유형),company,person,amount_context,periodic,1인당,내용  ❍ 신규 채용 청년 인건비 지원 : 1인당 월 180만원 지원     -
PBLN_000000000064697,[대구] 2021년 스타기업 9기 히어로 양성사업 참여기업 모집 공고(스타기업 육성사업),company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000062971,2021년 초기창업패키지 창업기업 모집 공고,(결측),company,amount_context,total_budget,개사,"는 의미임 □ 지원규모 : 총 900개사 내외 (최대 1억원, 평균 0.7억원"
PBLN_000000000061626,[전남] 2021년 개별바이어 초청 수출상담회 지원사업 신청 공고,(결측),company,scope_section,unknown,기업당,"문하는 경우 추가상담일 당 1박 추가 지 지원한도 : 기업당 2인, 2백만 원 이내        ※ 미주, 유럽,"
PBLN_000000000060615,[대구] 수성구 2021년 지역주도형 청년일자리 사업 참여기업 모집 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000058859,2020년 글로벌 외식전문가 양성사업 현장교육 참여기업 모집 공고,company,person,scope_section,periodic,0명,제 대학 예비졸업생․졸업생)     ❍ 교육인원 : 30명   ❍ 교육기간 : 실무역량 7주 30시간 
PBLN_000000000053685,[서울] 2020년 지역연계형 청년 창업 지원사업 넥스트 로컬 2기 참여자 모집 공고,(결측),person,scope_section,unknown,0명,지원규모 : 200명 내외(100개 내외 창업팀)    - 지원내용 : 지
PBLN_000000000052814,[충북] 2020년 3차 지역정착지원형 청년일자리사업 참여기업 모집 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000052569,[제주] 우수제품 품질인증(JQ) 환경개선 지원사업 참가기업 모집 공고,(결측),company,scope_section,unknown,참여기업,지원금액 지급(진흥원->참여기업) □ 지원내용  ○ 지원내용   ※VAT 및 지원금액
