row_id,title,unit_before,unit_after,basis,amount_type,matched,evidence_window
PBLN_000000000051166,[경남] 2020년 스타트업 아이디어 고도화 지원사업 청년 예비창업자 모집 공고,(결측),team,amount_context,total_budget,개 팀,창업자 ▢ 모집대상 : 20개 팀 ▢ 지원규모 : 총 6억원(예비창업자 초기
PBLN_000000000050438,[울산] 2020년 중장년 취업지원사업 참여기업 모집 공고,company,person,amount_context,periodic,1인당,① 지원금액 : 참여기업에 참여근로자 1인당 월 60만원씩 최대 6개월간
PBLN_000000000049197,[전북] 2020년 전북형 수출 바우처 지원사업 참가기업 모집 공고,(결측),company,scope_section,total_budget,개사,"지원규모 : 최대 25백만원 정도, 총 24개사  ○ 지원내용 : 수출기반조성, 수출마케팅, 계약체결"
PBLN_000000000047826,[경기] 5060 이음일자리 사업 참여기업 모집 연장 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000047557,[강원] 강원산불피해복구 소상공인 지원사업 2차 공고,(결측),company,amount_context,total_budget,개사,"지원규모 : 350개사 내외(피해금액의 35%, 최대 50백만원 한도) □ "
PBLN_000000000047255,[충북] 2019년 4차 지역주력사업(수송기계소재부품산업) 기술지원 수혜기업 모집 개별 공고,(결측),company,scope_section,total_budget,기업당,"ㅇ (지원프로그램 및 내용) 3개 프로그램     ※ 기업당 2개 제품까지, 제품별로는 5개 프로그램까지 신청 가"
PBLN_000000000046571,[경기] 부천시 2019년 지역정착형 청년일자리 사업(부천 Home&Job) 참여기업 모집 공고,company,person,amount_type_convention,periodic,amount_type=periodic,
PBLN_000000000045855,[충남] 2019년 충남콘텐츠코리아랩 콘텐츠 창작동아리 고도화 지원사업 참가자 모집 공고,project,team,amount_context,per_project,팀당,창작문화 확산 등 (모집규모) 총 8팀 내외 (팀당 500만원 내외 차등지원)
PBLN_000000000045481,[전남] 2019년 4차 전남 해양수산 창업투자 지원사업 수혜기업 모집 공고,(결측),project,amount_context,total_budget,3건,"도내 수산산업관련 유망기업   □ 지원규모 : 3건 50,000천원      ※ 각"
PBLN_000000000043259,[부산] 3차 청년창업 맞춤형 역량강화 지원사업(지역주도형?청년일자리 확산사업),(결측),company,amount_context,unknown,개사,"○ 선정규모 : 00개사 내외    ○ 지원금액 : 1,200만원 내외 / 임"
PBLN_000000000040419,[경북] 2019년 사회적기업 사회보험료 지원사업 참여기업 모집공고,company,person,scope_section,periodic,1인당,"0명 한도   ○ 지원한도 : 4대 보험 모두 가입시 1인당 월 168,400원     - 고용보험은 1인당 월 "
