announcement_id,status,section,filename,ext,atch_url,size,path,error
PBLN_000000000040632,ok,첨부파일,2019년 대전형 청년내일채움공제 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000347462&fileSn=0,19456,list\PBLN_000000000040632\2019년 대전형 청년내일채움공제 공고문.hwp,
PBLN_000000000042693,ok,첨부파일,시니어인턴십 사업안내.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000368519&fileSn=1,16384,list\PBLN_000000000042693\시니어인턴십 사업안내.hwp,
PBLN_000000000048425,ok,첨부파일,2020년도 산업기술혁신사업 통합 시행계획 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000435211&fileSn=0,557568,list\PBLN_000000000048425\2020년도 산업기술혁신사업 통합 시행계획 공고문.hwp,
PBLN_000000000043820,ok,첨부파일,2019년 인쇄 소공인 작업환경개선사업 지원사업 참가업체 모집 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000382841&fileSn=0,32768,list\PBLN_000000000043820\2019년 인쇄 소공인 작업환경개선사업 지원사업 참가업체 모집 공고문.hwp,
PBLN_000000000041714,ok,첨부파일,[경남] 2019년 1분기 소상공인 일자리 안정자금 지원사업 변경 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000358346&fileSn=0,49152,list\PBLN_000000000041714\[경남] 2019년 1분기 소상공인 일자리 안정자금 지원사업 변경 공고.hwp,
PBLN_000000000045355,ok,첨부파일,[광주] 2019년 예비사회적기업 인큐베이팅 지원사업 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000399674&fileSn=0,89600,list\PBLN_000000000045355\[광주] 2019년 예비사회적기업 인큐베이팅 지원사업 공고.hwp,
PBLN_000000000041190,ok,첨부파일,공동채용신청서.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000352878&fileSn=1,37888,list\PBLN_000000000041190\공동채용신청서.hwp,
PBLN_000000000048170,ok,첨부파일,[부산] 서울시-부산시 2020년 도시청년 지역상생 고용사업 참여기업 모집 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000431358&fileSn=0,177665,list\PBLN_000000000048170\[부산] 서울시-부산시 2020년 도시청년 지역상생 고용사업 참여기업 모집 공고.hwp,
PBLN_000000000046203,ok,첨부파일,2019년_깨끗하고_정이_넘치는_전통시장_지원사업(공고문)_2차.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000409081&fileSn=0,19456,list\PBLN_000000000046203\2019년_깨끗하고_정이_넘치는_전통시장_지원사업(공고문)_2차.hwp,
PBLN_000000000047792,ok,첨부파일,[충북] 소재ㆍ부품ㆍ장비 스마트 촉진 인력양성사업(프로젝트 랩) 공고.pdf,pdf,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000426626&fileSn=0,138213,list\PBLN_000000000047792\[충북] 소재ㆍ부품ㆍ장비 스마트 촉진 인력양성사업(프로젝트 랩) 공고.pdf,
PBLN_000000000040204,ok,첨부파일,2019년 전통시장 및 상점가 활성화 지원사업 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000343338&fileSn=0,475136,list\PBLN_000000000040204\2019년 전통시장 및 상점가 활성화 지원사업 공고.hwp,
PBLN_000000000047411,ok,첨부파일,2019년 6차 벤처기업 공동채용 참여기업 모집 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000422220&fileSn=0,49152,list\PBLN_000000000047411\2019년 6차 벤처기업 공동채용 참여기업 모집 공고.hwp,
PBLN_000000000044551,ok,첨부파일,2019년 경기도 뿌리기업 화학물질취급시설 개선 지원 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000390746&fileSn=0,32768,list\PBLN_000000000044551\2019년 경기도 뿌리기업 화학물질취급시설 개선 지원 공고문.hwp,
PBLN_000000000047498,ok,첨부파일,[수도권] 2019년 하반기 수도권 혁신기업 온라인 채용박람회 참가기업 모집 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000423153&fileSn=0,49152,list\PBLN_000000000047498\[수도권] 2019년 하반기 수도권 혁신기업 온라인 채용박람회 참가기업 모집 공고.hwp,
PBLN_000000000044741,ok,첨부파일,2019_뉴딜일자리_사업_참여기업_추가_모집공고-6월.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000392936&fileSn=0,86016,list\PBLN_000000000044741\2019_뉴딜일자리_사업_참여기업_추가_모집공고-6월.hwp,
PBLN_000000000039979,ok,첨부파일,[대구] 사회적경제 청년인턴 지원사업 모집공고(행정안전부 지역주도형 청년일자리 지원사업).hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000341366&fileSn=0,34304,list\PBLN_000000000039979\[대구] 사회적경제 청년인턴 지원사업 모집공고(행정안전부 지역주도형 청년일자리 지원사업).hwp,
PBLN_000000000048184,ok,첨부파일,2020년 도시청년 지역상생 고용사업 참여기업 모집 공고문 및 신청서.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000431592&fileSn=0,98304,list\PBLN_000000000048184\2020년 도시청년 지역상생 고용사업 참여기업 모집 공고문 및 신청서.hwp,
PBLN_000000000045679,ok,첨부파일,2019년 중소기업 연구인력 지원사업(공공연 연구인력 파견지원) 공고(8월 신청).hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000403190&fileSn=0,32768,list\PBLN_000000000045679\2019년 중소기업 연구인력 지원사업(공공연 연구인력 파견지원) 공고(8월 신청).hwp,
PBLN_000000000047661,ok,첨부파일,잡코리아와 함께하는 온라인 채용지원사업 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000424697&fileSn=0,18432,list\PBLN_000000000047661\잡코리아와 함께하는 온라인 채용지원사업 공고문.hwp,
