row_id,cohort,title,error_type,hard_top10,hard_top5,target_before_won,target_after_won,delta_log10,resid_m73_before,evidence_before,evidence_after
PBLN_000000000044522,bizinfo,[경기] 2019년 기술닥터사업 상용화(추경) 지원사업 모집 공고,multi_amount_candidate,True,True,720000000,45000000,-1.2041,-2.2528,")
 ■ 지원규모 및 기업부담금
   ○ 사업예산 : 720,000천원(기업당 최대 45","○ 사업예산 : 720,000천원(기업당 최대 45,000천원, 16개사 내외)"
PBLN_000000000043702,bizinfo,[전북] 2019년 2차 스마트콘텐츠 제작지원 사업 추가모집 공고(스마트콘텐츠 기업 강소화 지원),total_vs_per_recipient,False,False,84000000,28000000,-0.4771,-0.2608,"지원금액 : 기업 당 최대 28,000천원 지원(총 84,000천원, 3개 과제)","제작 지원금 교부
   - 지원금액 : 기업 당 최대 28,000천원 지원(총 84,0"
PBLN_000000000043607,bizinfo,[전북] 2019년 3차 선도기업 사내창업 활성화 지원사업(바우처) 수혜기업 모집 공고,total_vs_per_recipient,False,False,60000000,30000000,-0.301,0.005,"도내 제조산업 활성화 기반 마련
□ (지원규모) 총 60백만원 (업체당 30백만","화 기반 마련
□ (지원규모) 총 60백만원 (업체당 30백만원/총 2개사/기업부"
PBLN_000000000043369,bizinfo,[경기] 2019년 대ㆍ중소기업 동반성장 R&D 지원사업 시행계획 추가 공고,multi_amount_candidate,False,False,500000000,100000000,-0.699,-0.47,"반성장을 위한 상생협력 생태계 조성
 □ 지원규모 : 5억원 / 과제당 1.0","협력 생태계 조성
 □ 지원규모 : 5억원 / 과제당 1.0억원 이내 ※ 지원 규"
PBLN_000000000042476,bizinfo,[대전] 2019년 스마트콘텐츠 지역 성장거점 구축사업 스마트콘텐츠 제작지원 모집 공고,total_vs_per_recipient,False,False,90000000,30000000,-0.4771,-0.3202,"개발인력 인건비 등)비용 지원
   지원규모 : 총 90,000천원(기업당 30,00","지원
   지원규모 : 총 90,000천원(기업당 30,000천원 이내 X 3개사)"
PBLN_000000000042094,bizinfo,[울산] 2019년 지식서비스 강소기업 모집 공고,multi_amount_candidate,False,False,120000000,20000000,-0.7782,-0.626,")
(단위 : 천원)
  ○ (지원규모)  총 지원금 120,000천원, 선정기업당 소요","80% 이내
                 (1개사 20,000천원), 기업 자부담"
PBLN_000000000041835,bizinfo,[전북] 2019년 1차 선도기업 사내창업 활성화 지원사업(바우처) 수혜기업 모집 공고,total_vs_per_recipient,False,False,90000000,30000000,-0.4771,-0.204,"도내 제조산업 활성화 기반 마련
□ (지원규모) 총 90백만원 (업체당 30백만","화 기반 마련
□ (지원규모) 총 90백만원 (업체당 30백만원/총 3개사/기업부"
PBLN_000000000041526,bizinfo,[대전] 글로벌 ICT 강소기업 육성 기업모집 공고(2019년 지역SW기업성장지원사업),multi_amount_candidate,False,False,100000000,50000000,-0.301,-0.7111,"원 목 표 : 총 2개사 지원
ㅇ 지 원 예 산 : 100,000천원 / 기업당 50,","원
ㅇ 지 원 예 산 : 100,000천원 / 기업당 50,000천원
ㅇ 지원항목
ㅇ"
PBLN_000000000040908,bizinfo,KIC 운영(2019년 K-Global 프로젝트 사업 통합 공고),total_vs_per_recipient,True,True,5000000000,300000000,-1.2218,-2.1394,"건)
 ㅇ (예비고성장) 기업당 최대 1억원 내외(총 50억원, 50개 내외)","억원, 50개 내외)
 ㅇ (고성장기업) 기업당 최대 3억원 내외(총 30억원"
PBLN_000000000040805,bizinfo,[부산] 2019년 사회적경제기업 융자지원 계획 공고,multi_amount_candidate,False,False,592000000,30000000,-1.2952,-0.1419,"지원 목표액 : 592백만원
   ○  운영자금 : 592백만원(1기업당 3천만원","2백만원
   ○  운영자금 : 592백만원(1기업당 3천만원 이내)
  □ 지"
