row_id,cohort,title,error_type,hard_top10,hard_top5,target_before_won,target_after_won,delta_log10,resid_m73_before,evidence_before,evidence_after
PBLN_000000000125311,bizinfo,[부산] 2026년 하반기 중소기업 밀집지역 위기대응 체계 구축사업 Stand-up 맞춤지원 모집 공고,multi_amount_candidate,True,False,110000000,10000000,-1.0414,-0.8785,"인정되는 경우
 ◦ 
(2026년 하반기 지원규모)
 110백만원(11개사 내외)","내외)
  - 
(지원금액)
기업당 지원한도는 
최대 1,000만원
까지이며, 
지원"
PBLN_000000000125073,bizinfo,[전남광주] 2026년 우수 소상공인 프랜차이즈화 지원사업 사업화지원 참여업체 모집 공고,multi_amount_candidate,False,False,48000000,8000000,-0.7782,-0.7866,"025.) 동사업 선정 업체 제외 
 □ 지원금액 : 48백만원(업체당 8백만원","선정 업체 제외 
 □ 지원금액 : 48백만원(업체당 8백만원 이내)"
PBLN_000000000124246,bizinfo,[인천] 2026년 하반기 소상공인시장진흥자금 융자 계획 공고,total_vs_per_recipient,True,True,2500000000,50000000,-1.699,-1.5913,"선 또는 운영자금
융자조건 및 지원한도
규모
융자총액 25억원
한도
업체당 5천","조건 및 지원한도
규모
융자총액 25억원
한도
업체당 5천만원(신용보증서는 2천"
PBLN_000000000124111,bizinfo,[경기] 부천시 2026년 하반기 중소기업육성자금 지원 계획 공고,total_vs_per_recipient,False,False,1000000000,500000000,-0.301,-0.4074,"및 기 지원금 환수
5. 융자한도 
 〇 기업당 총 10억원 이내(운전·시설자","기업당 융자한도
운전자금
시설자금
창업자금
일반기업
5억원
5억원
-
부천강"
PBLN_000000000119957,bizinfo,[부산] 기계ㆍ부품ㆍ철강산업 숙련기술자 고용안정 지원사업 참여 기업 및 참여자 모집 공고,multi_amount_candidate,False,False,22500000,7500000,-0.4771,-0.6186,") 및 환수 조치에 동의한 기업
   - 1개사 최대 2,250만원(채용약정 3명),","지원, 숙련기술자 이·전직 채용 장려금 지원(1인당 750만원), 숙련기술자 근"
PBLN_000000000119951,bizinfo,[부산] 관광ㆍ마이스 그로우업(Grow-up) 지원사업 참여 기업 모집 공고,multi_amount_candidate,False,False,24000000,8000000,-0.4771,-0.6202,") 및 환수 조치에 동의한 기업
   - 1개사 최대 2,400만원(채용약정 3명),","청년), 기업당 최대 3명
   - 신규 채용 1인당 8백만원 지원 (기업별 최"
PBLN_000000000119181,bizinfo,[충북] 2026년 소부장 지원 전문가 스테이션 운영사업 기술애로 지원 모집 공고,multi_amount_candidate,False,False,1000000,300000,-0.5229,0.4822,"집) * 선착순으로 모집 마감
  ㅇ 지원규모: 최대 1백만원 / 기업당 자문","만원 / 기업당 자문 5회 내외, 1회당 자문료 최대 30만원
  ㅇ 지원대상:"
PBLN_000000000105308,bizinfo,[서울] 종로구 2025년 상반기 중소기업육성기금 융자지원 계획 공고,multi_amount_candidate,False,False,2000000000,100000000,-1.301,-0.8081,"2. 17.
서울특별시 종로구청장
 1. 융자규모 : 20억원(업체당 1억원 이","특별시 종로구청장
 1. 융자규모 : 20억원(업체당 1억원 이내)
   -"
PBLN_000000000096342,bizinfo,2024년 물기업 제품기술 향상 지원사업 모집 공고,total_vs_per_recipient,False,False,200000000,20000000,-1.0,-0.6529,"- 국고보조금: 기업당 최대 2,000만원(총 2억) 지원","실증 지원(3개 분야)
  - 국고보조금 지원(기업당 2,000만원, 자기부담금 10"
PBLN_000000000090971,bizinfo,강원도 인제군 한반도 생태평화벨트 우수관광상품 지원사업 공모 공고,total_vs_per_recipient,False,False,10000000,2500000,-0.6021,-0.3709,"할 수 없음
  지원규모 : 총 4개 여행사 / 총 1,000만원, 업체당 최대 2","총 4개 여행사 / 총 1,000만원, 업체당 최대 250만원
  공모내용 :"
PBLN_000000000088487,bizinfo,[전북] 전주시 2023년 해외시장개척단(Mega-Us EXPO 2023) 참가기업 모집 공고,multi_amount_candidate,False,False,30000000,6000000,-0.699,-0.5959,": 베트남 호치민시 GEM센터(1군)
 ⭕지원예산 : 30,000천원(5개사/기업당 6","W 관련 중소기업
 ⭕지원규모 : 5개사(기업당 최대 6백만원)
 ⭕일정/장소"
PBLN_000000000085299,bizinfo,[경기] 화성시 2023년 화이트바이오 혁신기업 육성 지원사업 모집 공고,multi_amount_candidate,True,True,126000000,25200000,-0.699,-1.3929,"5개사(이전 예정기업 포함)
 □ 지원규모: 총 예산 126,000천원, 기업당 25,2","□ 지원규모: 총 예산 126,000천원, 기업당 25,200천원 상당
※ 기업에"
PBLN_000000000084218,bizinfo,[경북] 2023년 청년CEO 마일스톤 지원사업 참여기업 모집 공고,multi_amount_candidate,False,False,15000000,10000000,-0.1761,0.4769,", 제품디자인, 장비임차료, 컨설팅 등)  1개사 연 1,500만원 지원 
    ＊","% 이상 매칭 필수
  - 맞춤형 레벨업 지원 1인당 1,000만원
    ＊레벨업"
PBLN_000000000082949,bizinfo,선배 여성 CEO 멘토링(2023년 여성기업육성사업 통합 공고),multi_amount_candidate,False,False,10500000,5000000,-0.3222,0.1548,"입점(11개사) : 공영홈쇼핑 방송 송출료 지원(최대 1,050만원)
  ◦ SNS광","팀 이내) 및 전문가 코칭, 초기 사업화자금 (기업당 500만원 내외), 투자유치"
PBLN_000000000081997,bizinfo,[전남] 무안군 2022년 일자리창출 우수기업 지원사업 모집 연장 공고,multi_amount_candidate,False,False,20000000,10000000,-0.301,-0.2828,"위한 시설 구축 및 물품 지원 등
 ㅇ 사 업 비 : 20,000천원(군비) / 기업당","ㅇ 사 업 비 : 20,000천원(군비) / 기업당 10,000천원
 ㅇ 선정방법 :"
PBLN_000000000079686,bizinfo,[제주] 사회적경제기업제품 오프라인 매장 프로모션 지원사업 모집 공고,multi_amount_candidate,False,False,20000000,2000000,-1.0,-0.895,"이후 진행되는 프로모션에 한해 지원
□ 지원규모 : 금20,000천원 / 기업당 최대","원
□ 지원규모 : 금20,000천원 / 기업당 최대 2,000천원 / 10개사 내외"
PBLN_000000000078921,bizinfo,2022년 가톨릭대학교 바이오 Core Facility 구축사업 공동연구개발기관(입주기업) 모집 공고,total_vs_per_recipient,False,False,600000000,200000000,-0.4771,-0.2491,"지원규모(정부지원금) : 기업당 2억원 이내/년(총 6억원)
    - (기","발자금 지원
   ○ 지원규모(정부지원금) : 기업당 2억원 이내/년(총 6억"
PBLN_000000000076931,bizinfo,[경북] 의성군 2022년 청년시범마을 일자리사업 참여자 모집 공고,total_vs_per_recipient,False,False,100000000,50000000,-0.301,-0.6223,"등록 시 지원금 지원
 지원금: 1개 팀당 최대 총 1억원 지원
   - 창","억원 지원
   - 창업 사업화자금: 1개 팀당 최대 5천만원 지원
   - 창"
PBLN_000000000076724,bizinfo,2022년 5월 스마트설비도입자금 접수 개시 공고,total_vs_per_recipient,False,False,500000000,100000000,-0.699,0.0503,"적용금리 연 2.75%
□ 대출한도 : 기업 당 총 5억원 이내 (운전자금","□ 대출한도 : 기업 당 총 5억원 이내 (운전자금 1억원 이내)
□ 대출기"
PBLN_000000000075604,bizinfo,2022년 4월 혁신형소상공인자금 접수 개시 안내 공고,total_vs_per_recipient,False,False,500000000,100000000,-0.699,-0.2092,"적용금리 연 2.75%
□ 대출한도 : 기업 당 총 5억원 이내 (운전자금","□ 대출한도 : 기업 당 총 5억원 이내 (운전자금 1억원 이내)
□ 대출기"
PBLN_000000000074827,bizinfo,2022년 혁신형 고령친화기업 집중 육성 지원사업 참여기관 모집 공고,total_vs_per_recipient,True,True,600000000,50000000,-1.0792,-1.196,"○ (지원금액) 기업당 50백만원 이내 차등지원(총 6억원, 20개 업체)","간) 2022년 4월∼11월
 ○ (지원금액) 기업당 50백만원 이내 차등지원(총"
PBLN_000000000074501,bizinfo,[서울] 2022년 서울형 R&D 지원사업 로봇 기술사업화 지원사업 공고,total_vs_per_recipient,True,False,1000000000,200000000,-0.699,-1.1604,"로봇 관련 기술사업화 개발비 지원
▣ 지원규모: 총 10억원 (과제당 최대 2","개발비 지원
▣ 지원규모: 총 10억원 (과제당 최대 2억원 / 1년 이내)"
PBLN_000000000074181,bizinfo,[전남] 2022년 글로벌시장 진출 마케팅 지원사업 참여기업 모집 공고,total_vs_per_recipient,True,False,100000000,5000000,-1.301,-0.8298,"농수축산, 화장품 등 수출기업
 □ 사업예산 : 총 100,000천원(기업당 최대 5,","□ 사업예산 : 총 100,000천원(기업당 최대 5,000천원 지원) 
 
 □"
PBLN_000000000072650,bizinfo,해양수산 창업기업 사업화 자금 지원(2022년 해양수산 창업ㆍ투자 지원사업 통합 모집 공고),total_vs_per_recipient,True,True,1200000000,30000000,-1.6021,-1.491,"그램 내용
 ㅇ (지원규모) 총 40개사* 내외, 총 12억원(기업당 최대 3천","규모) 총 40개사* 내외, 총 12억원(기업당 최대 3천만원)
   * 업력"
PBLN_000000000070185,bizinfo,[경남] 2021년 해양조선산업 대-중소기업 동반성장 기업지원사업 수요연계형 R&D사업 지원기업 모집 공고,multi_amount_candidate,False,False,200000000,65000000,-0.4881,-0.5526,"○ 유망품목(기술)
󰊲 지원유형
  ○ 지원규모: 200백만원(기업당 65백만원",")
󰊲 지원유형
  ○ 지원규모: 200백만원(기업당 65백만원 내외, 3개 과제"
PBLN_000000000068577,bizinfo,2021년 2차 추경 미래청년인재육성 사업 공고(코로나19),multi_amount_candidate,True,True,100000,1900000,1.2788,1.6618,"▴200만원 미만 → 지급임금의 90% + 간접노무비 10만원 지원
□ (기업당","(지원내용) 
   - 신규채용 청년 1인당 월 최대 190만원*을 최대 6개월간"
PBLN_000000000067152,bizinfo,[대구] 2021년 에듀테크 콘텐츠 개발지원사업 시행 공고(에듀테크 소프트랩 구축 및 운영사업),total_vs_per_recipient,True,False,250000000,50000000,-0.699,-0.8715,"지속 활용 예정
   
   
 ◦ (지원규모) 총 250백만원 이내(과제당 최대",◦ (지원규모) 총 250백만원 이내(과제당 최대 50백만원 이내 지원)
PBLN_000000000064427,bizinfo,[경기] 2021년 3D프린팅을 활용한 제품화 사업 모집 공고,total_vs_per_recipient,True,True,410000000,10000000,-1.6128,-1.2362,"간 : 2021년 6월 ~ 11월 
 ❍ 지원규모: 총410백만원, 41개사
 ❍","필요한 제작비 지원 등
  지원범위 : 기업당 최대 10백만원 이내 제품화 비용"
PBLN_000000000063556,bizinfo,[대구] 2021년 SW융합 제품 실증지원사업 참여기업 모집 공고,total_vs_per_recipient,True,False,112500000,90000000,-0.0969,-0.936,"21.12.31.
  ◦ 지원규모 : 1개사 내외(총 112.5백만원 이내)","원 이내)
                 과제당 최대 90백만원 지원 가능(심의"
PBLN_000000000060830,bizinfo,"[광주] 투자진흥지구 문화전당권역, 아킴보호텔 권역 컨설팅ㆍ마케팅 지원사업 공고",multi_amount_candidate,True,True,120000000,30000000,-0.6021,-1.3747,"21. 2. 9.(화) 18시(한)
 ❍ 지원예산 : 120,000천원(1개사 당 최대","❍ 지원예산 : 120,000천원(1개사 당 최대 30,000천원 내외)
3. 지원"
PBLN_000000000058679,bizinfo,2020년 2차 해외원천기술 상용화기술개발사업(기술진단ㆍ기획) 시행계획 수정공고,total_vs_per_recipient,False,False,300000000,30000000,-1.0,0.2601,"을 위한 양국 간 사전협의 지원
□ 지원규모
 ◦ 총 3억원 내외(과제당 정부","□ 지원규모
 ◦ 총 3억원 내외(과제당 정부출연금 30백만원 이내, 10개 과"
PBLN_000000000046892,bizinfo,[경북] 2019년 선택형 지원사업 참여기업 모집 공고(1인 창조기업 지원센터 지원사업),multi_amount_candidate,True,False,50000000,3000000,-1.2218,-0.9452,"북1인창조기업지원센터 입주기업 
  □ 지원규모 : 금50,000천원(기업당 최대 한도","□ 지원규모 : 금50,000천원(기업당 최대 한도 300만원 이내)
  □ 지"
PBLN_000000000046383,bizinfo,[경남] 2019년 미래철도 기술 사업화 진흥사업 기술수요 맞춤형 지원과제 추가모집 공고,total_vs_per_recipient,False,False,6000000,1200000,-0.699,0.2602,"지원사업비 : 과제당 1,200천원/5건 지원 (총 6,000천원) 
 ○ 지원기간","과제
 ○ 지원규모 
    - 지원사업비 : 과제당 1,200천원/5건 지원 (총"
PBLN_000000000044660,bizinfo,[대구] 2019년 사회적경제기업 협업화 지원사업 공고,multi_amount_candidate,False,False,20000000,10000000,-0.301,0.08,"천원
              * 신규지원 2건(최대 20,000천원), 계속지원 1건","원 2건(최대 20,000천원), 계속지원 1건(최대 10,000천원)"
