row_id,사업명,출처,지원성격,지원방식,지원단위,기업당지원한도,기업당액_산출,지원기업수,지원비율,사업기간,기간_근거,수치축_개수,비교군_percentile,극단축_개수,상식범위밖,층_품질,층_축수,층_비교군,원문발췌,라벨,라벨근거,라벨러
EXCEL2023_0881,2023년 친환경설비투자 융자사업,taxonomy,융자,loan,company,10.0억원,stated_cap,,,10.0,context,2,"사업기간 P90(n=91,성격x방식x출처) / 기업(과제)당 지원한도 P58(n=55,성격x방식x단위x출처)",1,False,A_직접기재,축2,융자 · loan · company,"10억원 한도, 변동금리, 대출기간 10년 ⑤ 설명: 담보대출 / 토지매입비, 부가가치세, 임대, 매각(판매)등의 수익 목적시설 등 지원 제외",,,
EXCEL2022_0619,2022년 콘텐츠 지재권 보호 지원,taxonomy,컨설팅,grant,company,6000.0만원,stated_cap,,70.0,,no_duration_evidence,2,"기업(과제)당 지원한도 P75(n=80,성격x방식x단위x출처) / 지원비율 P45(n=58,성격x방식x출처)",0,False,A_직접기재,축2,컨설팅 · grant · company,"60백만원 이내, 자부담 30%",,,
PBLN_000000000104962,[충북] 2025년 청년창업 우수기업 맞춤형 지원사업 모집 공고,bizinfo,사업화,grant,company,1600.0만원,stated_cap,8.0,,,,2,"지원 기업/과제 수 P57(n=220,성격x방식x단위x출처) / 기업(과제)당 지원한도 P55(n=286,성격x방식x단위x출처)",0,False,A_직접기재,축2,사업화 · grant · company,[충북] 2025년 청년창업 우수기업 맞춤형 지원사업 모집 공고,,,
EXCEL2022_0842,2022년 강한 소상공인 성장지원,taxonomy,사업화,grant,team,1.0억원,stated_cap,30.0,,,no_duration_evidence,2,"기업(과제)당 지원한도 P75(n=9,단위) / 지원 기업/과제 수 P49(n=12,단위)",0,False,A_직접기재,축2,사업화 · grant · 기타단위,"30개, 팀당 100백만원 이내(1차 50백만원, 2차 50백만원 추가) / 2차 10~20개팀 지원",,,
EXCEL2023_0520,2023년 중소기업 스마트제조혁신 지원(투자연계형 스마트공장),taxonomy,설비,grant,company,,,9.0,50.0,3.0,hint_only,3,"지원비율 P25(n=57,성격x방식x출처) / 지원 기업/과제 수 P29(n=35,성격x방식x단위x출처) / 사업기간 P58(n=566,전체)",0,False,C_의심,축3,설비 · grant · company,"9개, 200백만원, 자부담 50% ⑤ 설명: 공급기업은 VC 등으로부터 공고일 기준 최근 3년간 5억원 이상 투자유치 필요",,,
PBLN_000000000072367,[경남] 일시멈춤 특별자금(2022년 소상공인 정책자금 지원계획 공고),bizinfo,융자,loan,,500.0억원,budget_div_count,6.0,,,,2,비교군 부족,0,True,C_의심,축2,융자 · loan · 단위미상,[경남] 일시멈춤 특별자금(2022년 소상공인 정책자금 지원계획 공고),,,
PBLN_000000000120422,[경남] 2026년 중소기업육성자금 특별자금(이란사태 피해 관련) 지원계획 수정 공고,bizinfo,융자,loan,company,5.0억원,stated_cap,14.0,,,no_duration_evidence,2,"지원 기업/과제 수 P76(n=65,성격x방식x단위x출처) / 기업(과제)당 지원한도 P75(n=94,성격x방식x단위x출처)",0,False,A_직접기재,축2,융자 · loan · company,"  최근 이란사태에 따라 도내 중동지역 수출 중소기업 금융부담 해소를 위한 2026년 경상남도 중소기업육성자금 특별자금(이란사태 피해 관련) 지원 계획을 다음과 같이 수정 공고합니다.  ☞ 「중소기업기본법」제2조에 따른 중소기업으로 주사무소(본사)와 사업장이 모두 경남에 소재하고, '26. 1월 1일 이후 대중동 직접수출",,,
EXCEL2022_0570,2022년 출판콘텐츠 다중활용 사업화 지원,taxonomy,사업화,grant,company,4000.0만원,stated_cap,4.0,90.0,,no_duration_evidence,3,"지원 기업/과제 수 P10(n=258,성격x방식x단위x출처) / 지원비율 P90(n=267,성격x방식x출처) / 기업(과제)당 지원한도 P18(n=316,성격x방식x단위x출처)",2,False,A_직접기재,축3,사업화 · grant · company,"4개, 40백만원 이내, 자부담 10%(지원금액)",,,
EXCEL2022_0248,2022년 만화·웹툰 신진 에이전트 육성 지원,taxonomy,고용보조,grant,company,5000.0만원,stated_cap,12.0,90.0,,no_duration_evidence,3,"기업(과제)당 지원한도 P100(n=62,성격x방식x단위) / 지원비율 P90(n=35,성격) / 지원 기업/과제 수 P52(n=47,성격x방식x단위)",2,False,A_직접기재,축3,고용보조 · grant · company,"12개, 50백만원 이내, 자부담 10% ⑤ 설명: 참여기업은 2인 이상을 신규 고용하고, 신진 에이전트 3인 이상 육성 필수",,,
PBLN_000000000104669,[경기] 안산시 2025년 현장노동자 휴게시설 개선 지원사업 공고,bizinfo,설비,grant,,3500.0만원,budget_div_count,2.0,80.0,,,3,"지원비율 P90(n=82,성격x방식)",1,False,B_파생,축3,설비 · grant · 단위미상,[경기] 안산시 2025년 현장노동자 휴게시설 개선 지원사업 공고,,,
PBLN_000000000071597,공공구매?실무교육(2022년 여성기업육성사업 통합 공고),bizinfo,사업화,grant,company,400.0만원,stated_cap,12.0,,,,2,"기업(과제)당 지원한도 P20(n=286,성격x방식x단위x출처) / 지원 기업/과제 수 P71(n=220,성격x방식x단위x출처)",0,False,A_직접기재,축2,사업화 · grant · company,공공구매?실무교육(2022년 여성기업육성사업 통합 공고),,,
PBLN_000000000117711,[경기] 포천시 2026년 중소기업 육성자금 융자지원 (이자차액 보전) 계획 공고,bizinfo,융자,loan,company,2.0억원,stated_cap,9.0,,3.0,hint_only,3,"사업기간 P75(n=60,성격x방식x출처) / 기업(과제)당 지원한도 P39(n=94,성격x방식x단위x출처) / 지원 기업/과제 수 P50(n=65,성격x방식x단위x출처)",0,False,A_직접기재,축3,융자 · loan · company,2억원  경제적 어려움을 겪고 있는 포천시 제조업체에 육성자금 융자지원을 통해 안정적인 경영활동을 도모하고 기업경쟁력을 강화하기 위한 2026년 포천시 중소기업 육성자금 융자지원(이자차액 보전) 계획을 다음과 같이 공고합니다.  ☞ 「중소기업기본법」 제2조에 따른 중소기업으로 신청일 현재 포천시에 본사와 공장이 모두 소재,,,
PBLN_000000000047357,[강원] 강원산불피해복구 소상공인 지원사업 공고,bizinfo,컨설팅,grant,,14.3만원,budget_div_count,350.0,,,,2,비교군 부족,0,False,B_파생,축2,컨설팅 · grant · 단위미상,[강원] 강원산불피해복구 소상공인 지원사업 공고,,,
EXCEL2022_0177,2022년 신성장동력 기술사업화 지원사업,taxonomy,사업화,voucher,company,1200.0만원,stated_cap,,75.0,,no_duration_evidence,2,"기업(과제)당 지원한도 P26(n=650,성격x단위) / 지원비율 P38(n=377,성격)",0,False,A_직접기재,축2,사업화 · voucher · company,"12백만원 이내, 자부담 25% ⑤ 설명: 서비스는 바우처 방식으로 제공 되며, 기술사업성 분석 또는 BM기획 중 택일하여 서비스 이용",,,
EXCEL2023_0576,2023년 신용보증기금 매출채권보험,taxonomy,매출채권,loan,company,1.0억원,stated_cap,,,1.0,bare,2,"사업기간 P25(n=566,전체) / 기업(과제)당 지원한도 P58(n=1726,단위)",0,False,A_직접기재,축2,기타성격 · loan · company,"[보험한도] 50백만원(온라인 상거래지수보험은 100백만원), [보험기간] 1년, [보험료] 보험금액의 1.3~1.9% ⑤ 설명: 보험금액 또는 '실제손해금액에 보상률(70~80%)을 곱한 금액' 중 적은 금액을 보험금으로 지급 / 지원규모는 온라인매출채권보험에 한하며, 보험상품 종류에 따라 보험한도 상이",,,
PBLN_000000000125127,[경남] 2026년 3분기 중소기업육성자금 일반자금 지원계획 공고,bizinfo,융자,loan,company,20.0억원,stated_cap,14.0,,,no_duration_evidence,2,"기업(과제)당 지원한도 P90(n=94,성격x방식x단위x출처) / 지원 기업/과제 수 P76(n=65,성격x방식x단위x출처)",1,False,A_직접기재,축2,융자 · loan · company,"  「경상남도 중소기업육성자금 지원 조례」제8조에 따라 2026년 경상남도 중소기업 육성자금 3분기 일반자금 융자(이차보전) 지원계획을 다음과 같이 공고합니다.  ☞ 경상남도에 소재한「중소기업기본법」제2조에 따른 중소기업으로서 지원 제외대상에 해당되지 않고, 자금별 세부 지원대상에 해당하는 기업 ※ 자금별 지원대상이 상이",,,
EXCEL2022_0105,2022년 디지털전환 K-SW기술개발지원사업(후속연계 개발 R&D),taxonomy,연구개발,grant,company,3.0억원,stated_cap,4.0,80.0,1.0,hint_only,4,"지원비율 P90(n=139,성격x방식x출처) / 사업기간 P10(n=126,성격x방식x출처) / 기업(과제)당 지원한도 P19(n=121,성격x방식x단위x출처) / 지원 기업/과제 수 P25(n=115,성격x방식x단위x출처)",2,False,A_직접기재,축4,연구개발 · grant · company,"4개, 1년간 200백만원(2개) 또는 300백만원(2개) 이내, 자부담 20%",,,
EXCEL2022_0492,2022년 방송장비 활성화 지원(방송장비기업 바우처),taxonomy,사업화,voucher,company,1000.0만원,stated_cap,18.0,70.0,,no_duration_evidence,3,"기업(과제)당 지원한도 P24(n=650,성격x단위) / 지원비율 P25(n=377,성격) / 지원 기업/과제 수 P63(n=542,성격x단위)",0,False,A_직접기재,축3,사업화 · voucher · company,"18개, 10백만원 이내, 자부담 30%",,,
PBLN_000000000118917,[경남] 진주시 2026년 창업기업 신용보증수수료 지원사업 공고,bizinfo,사업화,loan,company,200.0만원,stated_cap,,,7.0,hint_only,2,"기업(과제)당 지원한도 P0(n=650,성격x단위) / 사업기간 P100(n=102,성격)",2,False,A_직접기재,축2,사업화 · loan · company,2백만원  2026년 창업기업 신용보증수수료 지원사업을 다음과 같이 공고합니다.  ☞ 공고일 기준 창업 7년 이내 중소기업으로 진주시 소재 본사 또는 주사무소와 공장등록을 필한 제조업체(한국표준산업분류기준)  ☞ 창업 중소기업의 기업자금 융자담보를 위한 신용보증수수료 지원 - 2026년 납부한 보증수수료의 50%(업체당 ,,,
