announcement_id,status,section,filename,ext,atch_url,size,path,error
PBLN_000000000046572,ok,첨부파일,특화산업 정보보안 컨설팅 참여기업 모집 공고문 및 신청서.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000413116&fileSn=0,32768,list\PBLN_000000000046572\특화산업 정보보안 컨설팅 참여기업 모집 공고문 및 신청서.hwp,
PBLN_000000000045976,ok,첨부파일,2019 융복합콘텐츠 제작지원사업 공고문(2차공고).hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000406829&fileSn=2,32768,list\PBLN_000000000045976\2019 융복합콘텐츠 제작지원사업 공고문(2차공고).hwp,
PBLN_000000000043191,ok,첨부파일,[경남] 소상공인 희망컨설팅 사업 멘토링(전문분야 컨설팅) 시행 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000374965&fileSn=0,31232,list\PBLN_000000000043191\[경남] 소상공인 희망컨설팅 사업 멘토링(전문분야 컨설팅) 시행 공고.hwp,
PBLN_000000000040097,ok,첨부파일,[경기] 2019년 R&D+ 사업화 컨설팅 파트너 지원 프로그램 참여기업 상시모집 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000342489&fileSn=0,121856,list\PBLN_000000000040097\[경기] 2019년 R&D+ 사업화 컨설팅 파트너 지원 프로그램 참여기업 상시모집 공고.hwp,
PBLN_000000000044443,ok,첨부파일,2019년도 임산물 유통ㆍ가공단체 경영컨설팅사업 추가모집 공고문 및 신청서.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000389837&fileSn=0,49152,list\PBLN_000000000044443\2019년도 임산물 유통ㆍ가공단체 경영컨설팅사업 추가모집 공고문 및 신청서.hwp,
PBLN_000000000045259,ok,첨부파일,[대구] 4차 지역기업 혁신성장 바우처지원 및 사업화신속지원사업 통합 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000398758&fileSn=0,60928,list\PBLN_000000000045259\[대구] 4차 지역기업 혁신성장 바우처지원 및 사업화신속지원사업 통합 공고.hwp,
PBLN_000000000044213,ok,첨부파일,4차 기업부설연구소 설립 지원사업 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000387309&fileSn=0,32768,list\PBLN_000000000044213\4차 기업부설연구소 설립 지원사업 공고문.hwp,
PBLN_000000000044510,ok,첨부파일,작성서식.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000390286&fileSn=0,49152,list\PBLN_000000000044510\작성서식.hwp,
PBLN_000000000044915,ok,첨부파일,신청서.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000395094&fileSn=1,23552,list\PBLN_000000000044915\신청서.hwp,
PBLN_000000000040995,ok,첨부파일,2019년 스마트공장 보급ㆍ확산사업 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000351205&fileSn=0,98304,list\PBLN_000000000040995\2019년 스마트공장 보급ㆍ확산사업 공고.hwp,
PBLN_000000000045695,ok,첨부파일,2019년 2차 클라우드컴퓨팅 도입 컨설팅 지원사업 안내 및 신청서.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000403207&fileSn=0,26112,list\PBLN_000000000045695\2019년 2차 클라우드컴퓨팅 도입 컨설팅 지원사업 안내 및 신청서.hwp,
PBLN_000000000042642,ok,첨부파일,청원생명쌀 바이오융합 특화제품 개발지원 공고문.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000367763&fileSn=0,285184,list\PBLN_000000000042642\청원생명쌀 바이오융합 특화제품 개발지원 공고문.hwp,
PBLN_000000000043208,ok,첨부파일,2019년 D.start 제조서비스 혁신 디자인 아이디어 공모.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000375114&fileSn=0,23040,list\PBLN_000000000043208\2019년 D.start 제조서비스 혁신 디자인 아이디어 공모.hwp,
PBLN_000000000043054,ok,첨부파일,[인천] 2019년 2차 마을기업 육성사업 신청자 모집 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000373171&fileSn=0,32769,list\PBLN_000000000043054\[인천] 2019년 2차 마을기업 육성사업 신청자 모집 공고.hwp,
PBLN_000000000044897,ok,첨부파일,[경기] 2019년 북부 경기문화창조허브 국내 유통마케팅 지원 참가기업 모집.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000394686&fileSn=0,18432,list\PBLN_000000000044897\[경기] 2019년 북부 경기문화창조허브 국내 유통마케팅 지원 참가기업 모집.hwp,
PBLN_000000000048215,ok,첨부파일,[경북] 경상북도 소셜 크라우드펀딩 대회 참가기업 모집 공고.hwp,hwp,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000431804&fileSn=0,7189504,list\PBLN_000000000048215\[경북] 경상북도 소셜 크라우드펀딩 대회 참가기업 모집 공고.hwp,
