row_id,__stratum,__score,__pct
EXCEL2023_0194,경고구간,-0.5081,98.89
EXCEL2023_0575,경계구간,-0.5082,94.12
EXCEL2022_0775,경계구간,-0.5081,97.07
PBLN_000000000054433,경계구간,-0.5082,93.12
PBLN_000000000039890,경고구간,-0.508,99.53
EXCEL2023_0168,경고구간,-0.508,99.14
PBLN_000000000124650,정상구간,-0.5084,89.16
EXCEL2023_0632,경고구간,-0.5081,98.29
EXCEL2023_0816,경고구간,-0.5081,98.29
PBLN_000000000117038,경계구간,-0.5082,93.03
EXCEL2023_0440,경고구간,-0.5081,98.93
EXCEL2022_0601,경고구간,-0.5079,99.83
EXCEL2022_0319,경고구간,-0.5081,98.29
EXCEL2022_0836,경계구간,-0.5083,92.24
PBLN_000000000069667,정상구간,-0.553,12.78
PBLN_000000000125225,경고구간,-0.5079,99.79
EXCEL2023_0169,경고구간,-0.5081,98.29
PBLN_000000000045622,경고구간,-0.5081,98.67
PBLN_000000000042060,경계구간,-0.5082,95.0
PBLN_000000000105035,경계구간,-0.5081,97.56
PBLN_000000000073058,정상구간,-0.532,37.79
PBLN_000000000094716,정상구간,-0.5105,74.65
PBLN_000000000119636,경계구간,-0.5083,91.32
EXCEL2022_0488,정상구간,-0.5095,78.39
PBLN_000000000061812,경계구간,-0.5082,95.0
PBLN_000000000124919,정상구간,-0.5349,33.09
EXCEL2023_0493,경계구간,-0.5082,94.31
EXCEL2023_0342,경계구간,-0.5083,91.13
EXCEL2023_0538,정상구간,-0.5192,56.76
PBLN_000000000045922,정상구간,-0.5237,50.45
PBLN_000000000119356,경계구간,-0.5083,91.13
PBLN_000000000043621,경고구간,-0.5081,98.85
PBLN_000000000076395,정상구간,-0.5352,32.36
EXCEL2022_0770,경고구간,-0.5079,99.96
EXCEL2023_0466,정상구간,-0.5087,84.31
EXCEL2023_0633,경고구간,-0.5081,98.29
EXCEL2022_0030,경계구간,-0.5081,97.84
PBLN_000000000044230,정상구간,-0.5355,32.19
PBLN_000000000082196,경고구간,-0.508,99.62
PBLN_000000000105293,정상구간,-0.5215,53.74
EXCEL2023_0124,정상구간,-0.538,29.05
PBLN_000000000039816,경고구간,-0.508,99.53
PBLN_000000000087113,경고구간,-0.5081,98.29
EXCEL2023_0776,경고구간,-0.508,99.7
EXCEL2023_0218,정상구간,-0.5089,81.45
EXCEL2022_0634,경고구간,-0.5081,98.29
EXCEL2022_0079,경계구간,-0.5084,90.25
PBLN_000000000071682,경계구간,-0.5082,93.31
PBLN_000000000123814,경고구간,-0.5081,98.76
EXCEL2023_0523,정상구간,-0.5092,79.69
